type,title,director,release_year,rating,listed_in,movie_duration,show_seasons
Movie,The Mad Monk,Johnny To,1993,TV-14,"Comedies, International Movies, Sci-Fi & Fantasy",85,
Movie,The Magic Pill,Robert Tate,2017,TV-PG,Documentaries,90,
TV Show,The Making of Frozen Planet,,2012,TV-PG,"British TV Shows, Docuseries, Science & Nature TV",,1
Movie,The Man Who Would Be Polka King,"John Mikulak, Joshua Brown",2009,TV-14,"Documentaries, Music & Musicals",68,
Movie,The Mask of Zorro,Martin Campbell,1998,PG-13,"Action & Adventure, Romantic Movies",138,
Movie,The Matrix,"Lilly Wachowski, Lana Wachowski",1999,R,"Action & Adventure, Sci-Fi & Fantasy",136,
Movie,The Matrix Reloaded,"Lilly Wachowski, Lana Wachowski",2003,R,"Action & Adventure, Sci-Fi & Fantasy",138,
Movie,The Matrix Revolutions,"Lilly Wachowski, Lana Wachowski",2003,R,"Action & Adventure, Sci-Fi & Fantasy",129,
Movie,The Mayo Clinic,"Ken Burns, Christopher Loren Ewers, Erik Ewers",2018,TV-14,Documentaries,116,
Movie,The Mayor,Park In-je,2017,TV-MA,"Dramas, International Movies",130,
Movie,"The Memphis Belle: A Story of a
Flying Fortress",William Wyler,1944,TV-PG,"Classic Movies, Documentaries",40,
